"phenotyping_key","phenotyping_label","phenotyping_bag_key","phenotyping_timestamp","shell_length_mm","shell_width_mm","tissue_wetweight_g","shell_dryweight_g","tissue_dryweight_g","phenotyping_notes","macroparasites","username","phenBags_TissueCollected","phenBags_VialLabel","FreezerBox_ID","phenBags_VialBuffer","phenBags_tissueType","phenBags_ShellBagID","CI","samplingTimePoint","site","population","bagID","grouping","site.pop"
"bb1280df","2023-11-10_MVP-LARMIX-4__2","bcc13906","2023-12-14",33,21,0.88,2.49,0.11,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.41767068273092,"2023-11","YR","H1-LARMIX","LARMIX-4","Mixtures","YR.LARMIX"
"b61bf08f","2023-11-10_MVP-LARMIX-4__3","bcc13906","2023-12-14",32,23,0.44,2.05,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.95121951219512,"2023-11","YR","H1-LARMIX","LARMIX-4","Mixtures","YR.LARMIX"
"bd7cf18f","2023-11-10_MVP-LARMIX-4__4","bcc13906","2023-12-14",39,23,1.04,3.19,0.2,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,6.26959247648903,"2023-11","YR","H1-LARMIX","LARMIX-4","Mixtures","YR.LARMIX"
"85780d57","2023-11-10_MVP-LARMIX-4__5","bcc13906","2023-12-14",38,24,1.01,3.68,0.13,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.53260869565217,"2023-11","YR","H1-LARMIX","LARMIX-4","Mixtures","YR.LARMIX"
"8e660e0a","2023-11-10_MVP-LARMIX-4__6","bcc13906","2023-12-14",23,16,0.21,0.86,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.48837209302326,"2023-11","YR","H1-LARMIX","LARMIX-4","Mixtures","YR.LARMIX"
"6ff4ff17","2023-11-29_MVP-SEEDMIX-6__7","6182f977","2023-12-14",21,16,0.25,1.17,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.56410256410256,"2023-11","YR","H2-SEEDMIX","SEEDMIX-6","Mixtures","YR.SEEDMIX"
"2616ba07","2023-11-29_MVP-SEEDMIX-6__8","6182f977","2023-12-14",24,16,0.18,0.91,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.2967032967033,"2023-11","YR","H2-SEEDMIX","SEEDMIX-6","Mixtures","YR.SEEDMIX"
"cd7e4e63","2023-11-29_MVP-SEEDMIX-6__9","6182f977","2023-12-14",23,15,0.18,0.87,0.01,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.14942528735632,"2023-11","YR","H2-SEEDMIX","SEEDMIX-6","Mixtures","YR.SEEDMIX"
"39d2d598","2023-11-29_MVP-SEEDMIX-6__10","6182f977","2023-12-14",22,17,0.19,0.9,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.33333333333333,"2023-11","YR","H2-SEEDMIX","SEEDMIX-6","Mixtures","YR.SEEDMIX"
"f11dbfbc","2023-11-29_MVP-SEEDMIX-6__11","6182f977","2023-12-14",42,28,1.13,4.48,0.17,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.79464285714286,"2023-11","YR","H2-SEEDMIX","SEEDMIX-6","Mixtures","YR.SEEDMIX"
