"month","Mean_Salinity","Min_Salinity","Max_Salinity"
1,12.7241252212198,11.0802741395349,13.9755574096916
2,9.84958247970733,7.54089985650224,11.3976198461538
3,10.0810469034281,8.4724737092511,11.6610199647577
4,8.1445450578377,7.30455144303798,8.71498872727273
5,7.82495926195197,7.11887879069767,8.72917718721461
6,8.76020622300463,7.09145984236453,10.176216
7,10.4056090258985,9.7942630852018,10.9207594782609
8,13.2534854398349,12.633161324097,14.0017545739334
9,13.4166518850493,12.5372887769498,14.4981758662208
10,14.9485429071801,12.7473900474318,16.5413751821053
11,17.6814251062221,17.1972398095238,17.966620109589
12,16.2804124347745,12.2611096651584,17.4703888110599
