"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,4.84122475873881,1.60727712831438,8.06427440466947
"2",2,5.1870898710947,2.81561406248638,7.77209533901678
"3",3,8.65338371724309,5.45173356707525,11.9710717403251
"4",4,13.7781055908467,10.6534160269572,17.0399809919296
"5",5,19.3562204848948,15.9485249170296,22.4186094781386
"6",6,24.9244678214881,22.2655333982272,27.2730157045325
"7",7,28.3475036881437,26.1771648642246,29.8273465546087
"8",8,27.4514764793584,25.4393797299765,29.277312075341
"9",9,24.8299378991241,21.594352533547,28.3596096412642
"10",10,19.046256924779,15.395154836862,23.0024368076366
"11",11,12.0426955824726,7.7512781931611,17.0461021863011
"12",12,7.59912286222582,4.74187196590088,10.3566046974762
