"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,6.24890203926621,3.50915789473684,9.13594736842105
"2",2,5.88177926967337,3.7997,8.67325
"3",3,9.23771075957906,5.80035,13.6248
"4",4,14.3094653683821,10.40905,19.28215
"5",5,19.689800544215,15.9474285714286,24.7669047619048
"6",6,24.5409209203458,20.8947619047619,28.5289523809524
"7",7,27.5151538027205,25.081380952381,30.6211904761905
"8",8,27.6753892900714,25.4260476190476,30.5777619047619
"9",9,25.2143100087505,22.0799047619048,28.6801904761905
"10",10,20.1136506519159,15.8108095238095,24.1715714285714
"11",11,13.7928493845757,9.98061904761905,18.0553333333333
"12",12,9.120592411415,6.5259,12.1969
