"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,19.5640956879126,17.0873684210526,21.9721052631579
"2",2,18.7607574725508,16.507,21.347
"3",3,18.3611940073099,15.5115,21.269
"4",4,17.8004496093064,15.083,20.352
"5",5,17.3010517502053,14.8666666666667,19.7257142857143
"6",6,17.9940467809419,15.587619047619,20.8509523809524
"7",7,19.7182407501093,17.0642857142857,22.3247619047619
"8",8,20.5435248844255,18.2552380952381,22.7166666666667
"9",9,20.3330363686258,18.54,22.4857142857143
"10",10,20.3389825958418,18.2404761904762,22.4909523809524
"11",11,20.3870928820177,17.9547619047619,22.4628571428571
"12",12,20.0036767821675,17.5335,22.1015
