"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,21.4020895242306,18.34,22.62
"2",2,21.0320554101439,17.3533333333333,22.8466666666667
"3",3,21.3593145330461,16.7133333333333,23.3066666666667
"4",4,21.2834277272261,15.7866666666667,23.76
"5",5,20.3296113144122,15.1,23.8266666666667
"6",6,20.2997755522123,15.38,22.3466666666667
"7",7,18.8903108151875,14.6666666666667,21.3466666666667
"8",8,20.419992790231,14.9066666666667,22.6533333333333
"9",9,21.0702898395796,14.1066666666667,23.6666666666667
"10",10,21.4058587569098,15.56,23.2266666666667
"11",11,21.4539380628551,15.6266666666667,23.94
"12",12,21.0302877509937,18.2,22.4866666666667
