"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,13.6513301529931,8.62,19.12
"2",2,15.7601685293322,10.42,20.6666666666667
"3",3,19.5899487672211,14.1333333333333,24.18
"4",4,23.1584694686729,19.2,26.5933333333333
"5",5,26.5834974336521,22.9066666666667,29.6
"6",6,29.5126972978154,27.1933333333333,31.7133333333333
"7",7,30.0549130366844,27.64,32.3133333333333
"8",8,30.5148395348467,28.4333333333333,32.46
"9",9,28.5985854846165,25.3,31.4733333333333
"10",10,24.9605815868731,19.18,28.9733333333333
"11",11,19.6265737631114,13.8666666666667,24.8266666666667
"12",12,15.5059876036075,11.2,20.22
