"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,10.1196532667916,2.74666666666667,20.2
"2",2,10.3384745608444,3.33333333333333,20.5333333333333
"3",3,11.1626323237546,3.45333333333333,21.1333333333333
"4",4,9.85104547492906,3.12666666666667,18.5333333333333
"5",5,9.04183480153949,2.64,17.3333333333333
"6",6,6.80195070497019,1.42666666666667,15.5333333333333
"7",7,6.28207025527468,1.38,15.2733333333333
"8",8,7.88212560314056,2.12,16.4
"9",9,11.62063300877,4.06923076923077,19.6153846153846
"10",10,15.189955070011,8.12666666666667,22.0666666666667
"11",11,15.2244558750287,8.47333333333333,22.5333333333333
"12",12,14.3483510664459,6.95333333333333,21.4666666666667
