"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,12.9474948117128,7.32666666666667,19.0133333333333
"2",2,16.1393660642335,10.3666666666667,21.4466666666667
"3",3,19.7395936583589,14.0866666666667,24.3
"4",4,22.697641722609,17.9666666666667,26.4266666666667
"5",5,26.6596786693556,22.48,30.4133333333333
"6",6,29.6793646986633,26.96,32.8266666666667
"7",7,30.2294892894495,27.6933333333333,33.0133333333333
"8",8,30.2597403273449,27.2066666666667,33.0933333333333
"9",9,28.5868515147054,25.1,31.9692307692308
"10",10,24.1531457090512,18.24,28.04
"11",11,18.3490600848934,12.84,23.2533333333333
"12",12,15.3210452357919,10.4866666666667,20.4533333333333
