"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,12.9615005788299,7.32666666666667,19.0466666666667
"2",2,16.1078409965822,10.3666666666667,21.4466666666667
"3",3,19.725222863473,14.0866666666667,24.32
"4",4,22.6890675892097,17.9666666666667,26.42
"5",5,26.6406711256023,22.48,30.4066666666667
"6",6,29.6707605000176,26.96,32.8266666666667
"7",7,30.2263459743199,27.6933333333333,33.0133333333333
"8",8,30.2681533502627,27.2066666666667,33.0933333333333
"9",9,28.5970891937818,25.1,32.0230769230769
"10",10,24.1876951656753,18.3266666666667,28.1133333333333
"11",11,18.3737344438429,12.9066666666667,23.3333333333333
"12",12,15.3325551891742,10.4866666666667,20.52
