"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,14.4246866952452,10.6846470588235,18.1824705882353
"2",2,15.0815739689593,11.4116875,19.2421875
"3",3,17.6350473034594,13.4864705882353,21.7221176470588
"4",4,21.2494518852144,17.0006666666667,25.4913994946667
"5",5,24.841633012853,20.943719192,28.6135333333333
"6",6,28.031437295838,25.0537058823529,30.7815294117647
"7",7,28.9203633841026,25.8879375,31.470875
"8",8,28.8100045161529,25.8186,31.4392666666667
"9",9,28.1427953315171,25.0019333333333,30.8731333333333
"10",10,24.6582272479548,20.236625,27.995875
"11",11,19.3573835120949,15.1194,23.9907333333333
"12",12,16.431168351015,12.844,20.0495
