"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,1.85405581126694,0.7,3.97
"2",2,1.10726702403885,0.288888888888889,3.25555555555556
"3",3,0.822361250718744,0.144444444444444,3.12222222222222
"4",4,0.420832850241945,0.1,1.71
"5",5,0.36089011260961,0.11,1.68
"6",6,0.950933756940623,0.13,2.97
"7",7,2.75679056436387,1.15,5.36
"8",8,4.56170245519214,2.11111111111111,8.08888888888889
"9",9,5.71683806046449,2.97777777777778,8.78888888888889
"10",10,4.807575515761,2.52222222222222,9
"11",11,4.41738216533708,2.32727272727273,7.65454545454545
"12",12,2.73234879648816,1.17777777777778,5.66666666666667
