"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,3.942969785682,1.01,7.09
"2",2,4.65540954729785,2.06666666666667,7.63333333333333
"3",3,9.29268511750831,5.61111111111111,12.9555555555556
"4",4,14.8863140856141,10.97,19.29
"5",5,20.7482699922201,16.56,25.9
"6",6,25.4657336397442,22.71,28.76
"7",7,27.6558017293017,25.44,30.28
"8",8,27.1130567020508,24.7444444444444,29.7111111111111
"9",9,24.3978620827046,21.3222222222222,27.9666666666667
"10",10,18.8106726330601,14.4444444444444,23.6111111111111
"11",11,11.6555156768751,8.14545454545454,16.1090909090909
"12",12,7.54611059304321,5.01111111111111,10.5888888888889
