"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",3,14.5204921394395,2.66666666666667,21.6
"2",4,9.96573848140589,0.472727272727273,18.6772727272727
"3",5,12.6345580610844,0.616,23.144
"4",6,16.4969167844611,2.96,25.288
"5",7,20.8538846870149,7.65769230769231,27.8153846153846
"6",8,23.2939447638018,10.8269230769231,28.9653846153846
"7",9,23.7546376725449,11.904,29.156
"8",10,21.5933184010636,5.89583333333333,28.7375
"9",11,16.0433500563616,3.37083333333333,24.575
"10",12,14.4117848458753,3.74761904761905,22.0428571428571
