"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",3,8.91494213590402,7.06666666666667,11.2666666666667
"2",4,10.715700321615,7.56818181818182,14.9409090909091
"3",5,15.221635109206,10.532,21.328
"4",6,20.2188223394018,15.228,25.392
"5",7,23.5071200486991,20.0846153846154,27.55
"6",8,23.3613656493273,20.2576923076923,26.9576923076923
"7",9,19.7775267909139,15.816,24.188
"8",10,13.3581932367684,8.37916666666667,18.3416666666667
"9",11,6.66847369372707,2.375,11.475
"10",12,3.95568087905371,1.86666666666667,5.77619047619048
