"site_name","download_date","source_description","lat","lon","firstyear","finalyear","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","high_sal_stress_days","low_sal_stress_days","frac_high_sal_stress_days","frac_low_sal_stress_days","Salinity_st_dev","Salinity_n","Salinity_years","collection_type"
"W1-TX","07-07-2023","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,20.8578965409574,29.90625,6.34375,5.9,36.7,879,1604,0.170745920745921,0.311577311577312,11.6639351083845,490107,16,"continuous"
"W2-LA","08-15-2023","USGS Water Data Sister Lake - 07381349",29.24916667,-90.9211111,2007,2022,10.4648685968814,25.75,0.96875,3,18,0,3562,0,0.744098600376018,5.58216683742311,246950,16,"continuous"
"W3-FL","09-13-2023","National Parks Service Continuous Water Data - Timucuan Preserve",30.44116,-81.43908,2005,2022,32.3522536547562,37.2936526457895,15.2848776958947,27.850664281,35.97585067,2471,18,0.484985279685967,0.00353287536800785,3.71539685491799,249752,19,"continuous"
"W4-VA","10/01/24","NOAA National Buoy Data Center (NDBC), Chesapeake Bay Interpretive Buoy System with values corrected based on data from VIMS Water Quality Data",37.211,-76.787,2008,2019,15.2082260828351,22.1833333333333,12.5416666666667,12.2,19.1,0,0,0,0,2.70141647539937,109712,12,"continuous"
"W5-NH","07-11-2023","NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ",43.0524,-70.91181,1997,2022,18.6413907070336,30.2923076923077,0.284615384615385,5.9,28.6,0,3383,0,0.603030303030303,8.32092581976642,432370,26,"continuous"
"W6-ME","03-21-2024","University of Maine",43.986,-69.55,2015,2023,29.4782830432469,31.5042857142857,8.74142857142857,26.29,31.48,0,13,0,0.0115248226950355,2.27787796122369,26314,7,"intermittent"
"S1-LOLA","05-10-2024","VIMS - Willy Reay, NOAA NBDC",37.98,-76.462,2014,2024,12.7479836629516,16.8683423235733,7.63707847763579,8.30654856528418,16.4543826666667,0,1155,0,0.365737808739709,3.03382190435488,3158,11,"daily"
"S2-DEBY","04-02-2024","Virginia Estuarine and Coastal Observing System, VIMS",37.247284,-76.499369,2003,2024,19.3389485348657,24.1890909090909,12.9063636363636,15.81,22.39,0,126,0,0.0177991241700805,2.56014356993626,667345,22,"continuous"
"LEW","02-26-2025","VIMS - William Reay, NOAA NBDC (corrected)",37.9803,-76.4619,2023,2024,12.2629063286683,16.5692435264926,9.67628475376146,8.03945725874126,17.136467423815,0,235,0,0.536529680365297,3.20500796395998,438,2,"daily"
"YRK","02-28-2025","Virginia Estuarine and Coastal Observing System, VIMS",37.247284,-76.499369,2023,2024,19.7704837214925,24.355,15.385,15.43,22.93,0,0,0,0,2.79611828923145,49636,2,"continuous"
