"site_name","download_date","source_description","lat","lon","firstyear","finalyear","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","Temperature_st_dev","high_temp_stress_days","frac_high_temp_stress_days","Temperature_n","Temperature_years","collection_type"
"W1-TX","07-07-2023","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,23.1054088188904,32.61875,7.775,13.8,30.5,6.38546821611236,1839,0.357226107226107,490107,16,"continuous"
"W2-LA","08-15-2023","USGS Water Data Sister Lake - 07381349",29.24916667,-90.9211111,2007,2022,22.8635853411622,33.16875,7.3125,13.2,30.7,6.69138590137803,1787,0.373302694798412,246950,16,"continuous"
"W3-FL","09-13-2023","National Parks Service Continuous Water Data - Timucuan Preserve",30.44116,-81.43908,2005,2022,22.1556673008222,31.1724736842105,10.2419473684211,14.559,29.279,5.70766431643323,1610,0.306549885757807,258086,19,"continuous"
"W4-VA","10/01/24","NOAA National Buoy Data Center (NDBC), Chesapeake Bay Interpretive Buoy System with values corrected based on data from VIMS Water Quality Data",37.211,-76.787,2008,2019,18.5346352267751,26.8416666666667,1.75833333333333,6.1,28.1,8.48879806824413,416,0.12621359223301,109712,12,"continuous"
"W5-NH","07-11-2023","NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ",43.0524,-70.91181,1997,2022,16.7170932303349,27.8807692307692,2.31923076923077,7.2,24.2,6.44962480142665,50,0.0089126559714795,432370,26,"continuous"
"W6-ME","03-21-2024","University of Maine",43.986,-69.55,2015,2023,15.3288717032758,23.46,4.02142857142857,7.563,21.5,5.22149721972099,0,0,26314,7,"intermittent"
"S1-LOLA","05-10-2024","VIMS - Willy Reay, NOAA NBDC",37.98,-76.462,2014,2024,15.8587997887478,28.8450297093939,1.34408692588256,5.03450310849057,27.7325858949275,8.73244626481173,271,0.0858138062064598,3158,11,"daily"
"S2-DEBY","04-02-2024","Virginia Estuarine and Coastal Observing System, VIMS",37.247284,-76.499369,2003,2024,17.1222893900455,30.1437727272727,3.54609090909091,6.53,27.49,8.0752492152421,999,0.141121627348496,667345,22,"continuous"
"LEW","02-26-2025","VIMS - William Reay, NOAA NBDC (corrected)",37.9803,-76.4619,2023,2024,18.6503722661067,30.2146769004976,4.07547637637745,7.35480666522912,28.4004925400093,8.16038386245885,67,0.15296803652968,438,2,"daily"
"YRK","02-28-2025","Virginia Estuarine and Coastal Observing System, VIMS",37.247284,-76.499369,2023,2024,18.0976192279797,30.5235,5.858,7.984,27.392,7.38190627905502,81,0.15606936416185,49636,2,"continuous"
