"","W1-TX","W2-LA","W3-FL","W4-VA","S1-LOLA","S2-DEBY","W5-NH","W6-ME","LEW","YRK"
"W1-TX",0,2.42833015916681,2.63225917651735,3.4315346370321,3.37460181080453,3.2705187728717,3.17910497710623,4.48094885424051,3.37460181080453,2.94722177494911
"W2-LA",2.42833015916681,0,3.78028297337121,2.57868635322992,2.13556621219392,2.82123344984953,3.26007535168739,4.91786324286155,2.13556621219392,2.5326413130787
"W3-FL",2.63225917651735,3.78028297337121,0,3.84331678953277,4.04135246144233,3.36517848788317,3.97433381036845,3.54114163932788,4.04135246144233,3.05399847018228
"W4-VA",3.4315346370321,2.57868635322992,3.84331678953277,0,0.619658571497637,0.650103447398835,2.02012724139002,3.31889711422499,0.619658571497637,0.879050097137816
"S1-LOLA",3.37460181080453,2.13556621219392,4.04135246144233,0.619658571497637,0,1.16458986960367,2.12427281986929,3.69557448729719,0,1.1936164445556
"S2-DEBY",3.2705187728717,2.82123344984953,3.36517848788317,0.650103447398835,1.16458986960367,0,1.84791682204502,2.74758817556806,1.16458986960367,0.447998505859272
"W5-NH",3.17910497710623,3.26007535168739,3.97433381036845,2.02012724139002,2.12427281986929,1.84791682204502,0,2.61518725868887,2.12427281986929,1.77257844336247
"W6-ME",4.48094885424051,4.91786324286155,3.54114163932788,3.31889711422499,3.69557448729719,2.74758817556806,2.61518725868887,0,3.69557448729719,2.6976251274563
"LEW",3.37460181080453,2.13556621219392,4.04135246144233,0.619658571497637,0,1.16458986960367,2.12427281986929,3.69557448729719,0,1.1936164445556
"YRK",2.94722177494911,2.5326413130787,3.05399847018228,0.879050097137816,1.1936164445556,0.447998505859272,1.77257844336247,2.6976251274563,1.1936164445556,0
