SpawnTrt_Key,Tank_naming,Group_Day_Key,Group_Day_Label,Tank,Day_Treatment,Day_analysis,Day,Date,Filter_size_µm,Sample_count,Group_count,Survival_rate_perc,Vial_label,Notes
80D0CCF6,MVP-LA,4CB3A67E,LA_00_Eggs,NA,00_Eggs,0,0,2023-05-09,NA,NA,NA,NA,,
80D0CCF6,MVP-LA,657A27E6,LA_00_60L,60L,00_60L,0,0,2023-05-09,35,NA,3000000,NA,,
80D0CCF6,MVP-LA,A07C71AC,LA_00_200L,200L,00_200L,0,0,2023-05-09,35,NA,15000000,NA,,
80D0CCF6,MVP-LA,7662466D,LA_02_60L,60L,02_60L,2,2,2023-05-11,48,10000,188000,6.267,,
80D0CCF6,MVP-LA,61224924,LA_02_200L,200L,02_200L,2,2,2023-05-11,48,100000,1040000,6.933,,
80D0CCF6,MVP-LA,6044A0CD,LA_08_60L,60L,08_60L,8,8,2023-05-17,75,5000,70000,2.333,,
80D0CCF6,MVP-LA,47B71987,LA_08_200L,200L,08_200L,8,8,2023-05-17,75,20000,804000,5.360,,
80D0CCF6,MVP-LA,7E8E995C,LA_19_Eyed,NA,19_Eyed,15-21,19,2023-05-28,212,4000,382000,3.822,,
80D0CCF6,MVP-LA,F5D8591F,LA_21_Small,NA,21_Small,15-21,21,2023-05-30,212,258000,306000,3.822,,
80D0CCF6,MVP-LA,BCDA9B63,LA_49_Seed,NA,49_Seed,49,49,2023-06-27,NA,NA,NA,NA,,
80D0CCF6,MVP-LA,335AAF42,LA_78_Predep,NA,78_Predep,78,78,2023-07-26,NA,NA,NA,NA,,
B1767257,MVP-TX,D358325F,TX_00_Eggs,NA,00_Eggs,0,0,2023-05-09,NA,NA,NA,NA,,
B1767257,MVP-TX,3E861E38,TX_00_60L,60L,00_60L,0,0,2023-05-09,35,NA,3000000,NA,,
B1767257,MVP-TX,644F639C,TX_00_200L,200L,00_200L,0,0,2023-05-09,35,NA,15000000,NA,,
B1767257,MVP-TX,18441302,TX_02_60L,60L,02_60L,2,2,2023-05-11,48,10000,252000,8.400,,
B1767257,MVP-TX,3406D874,TX_02_200L,200L,02_200L,2,2,2023-05-11,48,50000,981000,6.540,,
B1767257,MVP-TX,9B5C67A6,TX_08_60L,60L,08_60L,8,8,2023-05-17,75,5000,56000,1.867,,
B1767257,MVP-TX,1A943BC1,TX_08_200L,200L,08_200L,8,8,2023-05-17,75,10000,493000,3.287,,
B1767257,MVP-TX,6A2F7D94,TX_19_Eyed,NA,19_Eyed,15-21,19,2023-05-28,212,7000,338000,3.844,,
B1767257,MVP-TX,0EF50EEF,TX_21_Small,NA,21_Small,15-21,21,2023-05-30,212,288000,354000,3.844,,
B1767257,MVP-TX,359EBCA7,TX_49_Seed,NA,49_Seed,49,49,2023-06-27,NA,NA,NA,NA,,
B1767257,MVP-TX,42955D74,TX_78_Predep,NA,78_Predep,78,78,2023-07-26,NA,NA,NA,NA,,
334BC443,MVP-ME,0A27FF86,ME_00_Eggs,NA,00_Eggs,0,0,2023-05-09,NA,NA,NA,NA,,
334BC443,MVP-ME,F969A2EC,ME_00_60L,60L,00_60L,0,0,2023-05-09,35,NA,3000000,NA,,
334BC443,MVP-ME,E17C8B86,ME_00_200L,200L,00_200L,0,0,2023-05-09,35,NA,15000000,NA,,
334BC443,MVP-ME,D4A0F7CA,ME_02_60L,60L,02_60L,2,2,2023-05-11,48,10000,380000,12.667,,
334BC443,MVP-ME,DB4D2C7B,ME_02_200L,200L,02_200L,2,2,2023-05-11,48,100000,1780000,11.867,,
334BC443,MVP-ME,194805A7,ME_08_60L,60L,08_60L,8,8,2023-05-17,75,10000,185000,6.167,,
334BC443,MVP-ME,09D8947A,ME_08_200L,200L,08_200L,8,8,2023-05-17,75,0,0,0.000,,crashed 2023-05-15
334BC443,MVP-ME,ED55FA8A,ME_19_Eyed,NA,19_Eyed,15-21,19,2023-05-28,212,13000,49500,0.419,,
334BC443,MVP-ME,E032C281,ME_21_Small,NA,21_Small,15-21,21,2023-05-30,212,18000,26000,0.419,,
334BC443,MVP-ME,45C7DC67,ME_49_Seed,NA,49_Seed,49,49,2023-06-27,NA,NA,NA,NA,,
334BC443,MVP-ME,AB196470,ME_78_Predep,NA,78_Predep,78,78,2023-07-26,NA,NA,NA,NA,,
88C0ACD4,MVP-MA,B58EEA8B,MA_00_Eggs,NA,00_Eggs,0,0,2023-05-09,NA,NA,NA,NA,,
88C0ACD4,MVP-MA,3495AA7F,MA_00_60L,60L,00_60L,0,0,2023-05-09,35,NA,3000000,NA,,
88C0ACD4,MVP-MA,FFAF7BEE,MA_00_200L,200L,00_200L,0,0,2023-05-09,35,NA,15000000,NA,,
88C0ACD4,MVP-MA,6A6398C8,MA_02_60L,60L,02_60L,2,2,2023-05-11,48,10000,216000,7.200,,
88C0ACD4,MVP-MA,7659C850,MA_02_200L,200L,02_200L,2,2,2023-05-11,48,100000,1190000,7.933,,
88C0ACD4,MVP-MA,86F283CA,MA_06_60L,60L,06_60L,NA,6,2023-05-15,63,4000,4200,0.140,,crashed 2023-05-15
88C0ACD4,MVP-MA,537F0E72,MA_06_200L,200L,06_200L,NA,6,2023-05-15,63,1000,670,0.004,,crashed 2023-05-15
88C0ACD4,MVP-MA,DDE10220,MA_17_Eyed,NA,17_Eyed,NA,NA,NA,NA,0,0,0.000,NA,crashed 2023-05-15
88C0ACD4,MVP-MA,C6A4EC8A,MA_17_Small,NA,17_Small,NA,NA,NA,NA,0,0,0.000,NA,crashed 2023-05-15
88C0ACD4,MVP-MA,D280B9B2,MA_49_Seed,NA,49_Seed,NA,NA,NA,NA,0,0,0.000,NA,crashed 2023-05-15
88C0ACD4,MVP-MA,33336F00,MA_78_Seed,NA,78_Seed,NA,NA,NA,NA,0,0,0.000,NA,crashed 2023-05-15
7375C067,MVP-NH,2338134,NH_00_60L,60L,00_60L,0,0,2023-05-09,35,NA,3000000,NA,,
7375C067,MVP-NH,E399DB26,NH_00_200L,200L,00_200L,0,0,2023-05-09,35,NA,15000000,NA,,
7375C067,MVP-NH,16EFB82E,NH_02_60L,60L,02_60L,2,2,2023-05-11,48,50000,652000,21.733,,
7375C067,MVP-NH,1930E630,NH_02_200L,200L,02_200L,2,2,2023-05-11,48,100000,1950000,13.000,,
7375C067,MVP-NH,F14C9136,NH_08_60L,60L,08_60L,8,8,2023-05-17,75,40000,344000,11.467,,
7375C067,MVP-NH,51011CC4,NH_08_200L,200L,08_200L,8,8,2023-05-17,75,100000,1100000,7.333,,
7375C067,MVP-NH,15A6594F,NH_19_Eyed,NA,19_Eyed,15-21,19,2023-05-28,212,600000,475000,2.639,,
7375C067,MVP-NH,14A04A81,NH_19_Small,NA,19_Small,15-21,19,2023-05-28,212,285000,475000,2.639,,
7375C067,MVP-NH,482725A6,NH_49_Seed,NA,49_Seed,49,49,2023-06-27,NA,NA,NA,NA,,
7375C067,MVP-NH,3B3C0FBC,NH_78_Predep,NA,78_Predep,78,78,2023-07-26,NA,NA,NA,NA,,
