SpawnTrt_Key,SpawnTrt_Label,Tank_naming,SpawnTrt_Timestamp,Egg_Label
80D0CCF6,LA-SisLake,MVP-LA,5/9/2023 17:30:00,Cvi-MVP-E_Eggs_LA_05-09-2023_formalin
B1767257,TX-CapMatBay,MVP-TX,5/9/2023 14:30:00,Cvi-MVP-E-Eggs-CB_TX_05-09-2023_formalin
334BC443,ME-HogIs,MVP-ME,5/9/2023 17:00:00,Cvi-MVP-E_Eggs_ME_05-09-2023_formalin
88C0ACD4,MA-PlumIs,MVP-MA,5/9/2023 16:00:00,Cvi-MVP-E_Eggs_MA_05-09-2023_formalin
7375C067,NH-GrtBay,MVP-NH,5/9/2023 16:30:00,no_eggs_sampled
0066D592,VA-JR-DeepWatSh,MVP-JR,5/9/2023 13:30:00,Cvi-MVP-E_Eggs_JR_05-09-2023_formalin
BD4409AE,VA-WV-EastShor,MVP-WV,5/9/2023 14:00:00,Cvi-MVP-E_Eggs_WV_05-09-2023_formalin
AE5E7C9A,FL-KingPlan,MVP-FL,5/9/2023 15:00:00,Cvi-MVP-E_Eggs_FL_05-09-2023_formalin
BA103554,LOLA,MVP-LOLA,5/9/2023 12:00:00,Cvi-MVP-E_Eggs_LOLA_05-09-2023_formalin
F30C9334,DEBY,MVP-DEBY,5/9/2023 13:00:00,Cvi-MVP-E_Eggs_DEBY_05-09-2023_formalin
F86F3D8B,Poly-WithOutcross,MVP-LARMIX,5/9/2023 18:00:00,Cvi-MVP-E_Eggs_LARMIX_05-09-2023_formalin
A45B9C36,Poly-NoOutcross,MVP-SEEDMIX,,
