X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
147,-0.102438709,0.103038016,0.023659526,0.007352122,-0.055129907,0.181122575,PlDNA_13,TX-CapBay,MVP-TX-4,C2_CviMVPe_PlDNA_13_70317_1ed7c613,TX-CapBay,MVP-TX-4,70317,C2,2f69be90
209,-0.102100653,0.098154999,0.023901409,0.007632336,-0.051254654,0.159090075,PlDNA_13,TX-CapBay,MVP-TX-5,G3_CviMVPe_PlDNA_13_70575_0c8d8630,TX-CapBay,MVP-TX-5,70575,G3,9bd8c234
188,-0.101961382,0.103456137,0.024653003,0.008048277,-0.059731053,0.19276495,PlDNA_11,VA-JR-DeepWatSh,MVP-JR-6,B10_CviMVPe_PlDNA_11_70433_9fd0250a,VA-JR-DeepWatSh,MVP-JR-6,70433,A5,c9270c32
104,-0.101599187,0.101640598,0.023088973,0.007148363,-0.056360255,0.168884218,PlDNA_11,TX-CapBay,MVP-TX-1,D1_CviMVPe_PlDNA_11_70220_5484df7d,TX-CapBay,MVP-TX-1,70220,G9,9a583131
88,-0.10158947,0.102043536,0.025407044,0.008108904,-0.057955578,0.176494529,PlDNA_13,TX-CapBay,MVP-TX-3,B11_CviMVPe_PlDNA_13_70186_d921035a,TX-CapBay,MVP-TX-3,70186,B11,46e5a6fe
145,-0.101405685,0.103998748,0.023347498,0.008579501,-0.058672806,0.191803859,PlDNA_12,TX-CapBay,MVP-TX-6,A11_CviMVPe_PlDNA_12_70313_9ac3334b,TX-CapBay,MVP-TX-6,70313,A11,523553c5
81,-0.100970124,0.100916933,0.021571846,0.008887903,-0.055294341,0.184833713,PlDNA_12,TX-CapBay,MVP-TX-1,F9_CviMVPe_PlDNA_12_70175_1c2c71a0,TX-CapBay,MVP-TX-1,70175,F9,8bbfa3f7
190,-0.100743692,0.100039752,0.023220958,0.008058598,-0.055372189,0.170833925,PlDNA_13,TX-CapBay,MVP-TX-5,C1_CviMVPe_PlDNA_13_70441_17b65282,TX-CapBay,MVP-TX-5,70441,C1,0b1718fa
105,-0.100739074,0.096184579,0.022638455,0.008156995,-0.046126579,0.148292356,PlDNA_11,TX-CapBay,MVP-TX-1,H11_CviMVPe_PlDNA_11_70221_35bbf613,TX-CapBay,MVP-TX-1,70221,H11,be233ec7
89,-0.100404653,0.100549917,0.023651027,0.007346719,-0.055603274,0.180380127,PlDNA_12,TX-CapBay,MVP-TX-3,E2_CviMVPe_PlDNA_12_70187_d7def404,TX-CapBay,MVP-TX-3,70187,E2,c5ee3a23
