"","bag_site","pop","t","bags_label","tags_label","length","width"
"1","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-4","E315",35,22
"2","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-4","E315",41,28
"3","YorkRiver","W6-ME",1,"MVP-ME-6","A645",47,25
"4","YorkRiver","W6-ME",2,"MVP-ME-6","A645",48,25
"5","YorkRiver","W6-ME",3,"MVP-ME-6","A645",55,21
"6","Lewisetta","W2-LA",1,"MVP-LA-1","A049",53,25
"7","Lewisetta","W2-LA",2,"MVP-LA-1","A049",61,29
"8","Lewisetta","W2-LA",3,"MVP-LA-1","A049",113,47
"9","YorkRiver","W6-ME",2,"MVP-ME-5","A848",37,23
"10","YorkRiver","W6-ME",1,"MVP-ME-5","A848",37,24
"11","YorkRiver","W6-ME",3,"MVP-ME-5","A848",24,21
"12","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-6","LARMIX-6-extra",8,8
"13","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-6","LARMIX-6-extra",11,7
"14","Lewisetta","W3-FL",1,"MVP-FL-1","2147",35,27
"15","Lewisetta","W3-FL",2,"MVP-FL-1","2147",35,21
"16","Lewisetta","S2-DEBY",1,"MVP-DEBY-1","A130",38,27
"17","Lewisetta","S2-DEBY",2,"MVP-DEBY-1","A130",39,25
"18","Lewisetta","S2-DEBY",3,"MVP-DEBY-1","A130",57,43
"19","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-4","A754",35,22
"20","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-4","A754",39,21
"21","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-4","A754",42,24
"22","Lewisetta","W5-NH",2,"MVP-NH-3","B013",32,23
"24","Lewisetta","W5-NH",1,"MVP-NH-3","B013",29,21
"25","Lewisetta","W1-TX",2,"MVP-TX-2","B066",35,24
"26","Lewisetta","W1-TX",3,"MVP-TX-2","B066",51,39
"27","Lewisetta","W1-TX",1,"MVP-TX-2","B066",29,21
"28","Lewisetta","W6-ME",1,"MVP-ME-1","B315",33,20
"29","Lewisetta","W6-ME",2,"MVP-ME-1","B315",38,27
"30","Lewisetta","W6-ME",3,"MVP-ME-1","B315",43,28
"31","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-4","E322",23,15
"32","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-4","E322",29,20
"33","Lewisetta","S1-LOLA",2,"MVP-LOLA-2","A422",42,29
"34","Lewisetta","S1-LOLA",1,"MVP-LOLA-2","A422",40,27
"35","Lewisetta","S1-LOLA",3,"MVP-LOLA-2","A422",68,45
"36","Lewisetta","W3-FL",1,"MVP-FL-1","D792",29,24
"37","Lewisetta","W3-FL",3,"MVP-FL-1","D792",84,60
"38","Lewisetta","W3-FL",2,"MVP-FL-1","D792",45,28
"39","Lewisetta","W3-FL",1,"MVP-FL-3","E112",32,27
"40","Lewisetta","W3-FL",3,"MVP-FL-3","E112",51,34
"41","Lewisetta","W3-FL",2,"MVP-FL-3","E112",31,20
"42","YorkRiver","W3-FL",1,"MVP-FL-4","E386",36,20
"43","YorkRiver","W3-FL",3,"MVP-FL-4","E386",51,36
"44","YorkRiver","W3-FL",2,"MVP-FL-4","E386",49,18
"45","Lewisetta","W4-VA",3,"MVP-JR-1","B332",54,38
"46","Lewisetta","W4-VA",1,"MVP-JR-1","B332",22,16
"47","Lewisetta","W4-VA",2,"MVP-JR-1","B332",25,18
