"","popsite","bag_site","pop","t","bags_label","tags_label","length","width","letters"
"1","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A155",71,48,"b"
"2","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A128",70,46,"b"
"3","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A139",64,39,"b"
"4","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A146",75,46,"b"
"5","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A125",78,56,"b"
"6","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A161",75,50,"b"
"7","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A001",70,44,"b"
"8","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E179",82,51,"b"
"9","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E190",74,51,"b"
"10","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A157",75,49,"b"
"11","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E183",54,41,"b"
"12","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A023",78,55,"b"
"13","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A035",108,54,"b"
"14","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A160",78,54,"b"
"15","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A138",70,51,"b"
"16","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A143",64,51,"b"
"17","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E187",77,47,"b"
"18","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A156",62,40,"b"
"19","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A008",95,45,"b"
"20","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A152",73,48,"b"
"21","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A137-B292",54,43,"b"
"22","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A025",80,55,"b"
"23","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A000",105,65,"b"
"24","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E159",52,40,"b"
"25","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A010",76,45,"b"
"26","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A153-B294",62,36,"b"
"27","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A006",70,43,"b"
"28","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A005",35,28,"b"
"29","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E175-B297",77,51,"b"
"30","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A121",75,53,"b"
"31","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A012",68,50,"b"
"32","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E172",87,51,"b"
"33","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E167",45,38,"b"
"34","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E182",81,49,"b"
"35","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A002",81,50,"b"
"36","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A037",66,42,"b"
"37","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A013",71,45,"b"
"38","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E174-B298",82,58,"b"
"39","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E194",65,49,"b"
"40","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A140",62,45,"b"
"41","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E171",90,59,"b"
"42","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A036",40,29,"b"
"43","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A011",73,44,"b"
"44","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A130",57,43,"b"
"45","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E185",67,46,"b"
"46","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E178",72,43,"b"
"47","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A026",85,59,"b"
"48","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-3","A016",71,53,"b"
"49","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E196",86,56,"b"
"50","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-2","E181",49,35,"b"
"51","Lewisetta:DEBY","Lewisetta","S2-DEBY","3","MVP-DEBY-1","A148",56,42,"b"
