"","bag_site","pop","bags_label","t","surv"
"1","Lewisetta","S2-DEBY","MVP-DEBY-1",1,0.924455825864277
"2","Lewisetta","S2-DEBY","MVP-DEBY-2",1,0.645569620253165
"3","Lewisetta","S2-DEBY","MVP-DEBY-3",1,0.780377358490566
"4","YorkRiver","S2-DEBY","MVP-DEBY-4",1,0.808847624249044
"5","YorkRiver","S2-DEBY","MVP-DEBY-5",1,0.896036760482481
"6","YorkRiver","S2-DEBY","MVP-DEBY-6",1,0.867808219178082
"7","Lewisetta","W3-FL","MVP-FL-1",1,0.932922127987664
"8","Lewisetta","W3-FL","MVP-FL-2",1,0.752730109204368
"9","Lewisetta","W3-FL","MVP-FL-3",1,0.843925985518906
"10","YorkRiver","W3-FL","MVP-FL-4",1,0.979623824451411
"11","YorkRiver","W3-FL","MVP-FL-5",1,0.964365256124722
"12","YorkRiver","W3-FL","MVP-FL-6",1,0.961363636363636
"13","Lewisetta","W4-VA","MVP-JR-1",1,0.878636741479634
"14","Lewisetta","W4-VA","MVP-JR-2",1,0.532520325203252
"15","Lewisetta","W4-VA","MVP-JR-3",1,0.684638860630722
"16","YorkRiver","W4-VA","MVP-JR-4",1,0.88216810683425
"17","YorkRiver","W4-VA","MVP-JR-5",1,0.721565059144677
"18","YorkRiver","W4-VA","MVP-JR-6",1,0.883408071748879
"19","Lewisetta","W2-LA","MVP-LA-1",1,0.941097724230254
"20","Lewisetta","W2-LA","MVP-LA-2",1,0.960979342004591
"21","Lewisetta","W2-LA","MVP-LA-3",1,0.876014760147601
"22","YorkRiver","W2-LA","MVP-LA-4",1,0.916952642415923
"23","YorkRiver","W2-LA","MVP-LA-5",1,0.851233671988389
"24","YorkRiver","W2-LA","MVP-LA-6",1,0.915107913669065
"25","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-1",1,0.868766404199475
"26","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-2",1,0.942930153321976
"27","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-3",1,0.897045658012534
"28","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-4",1,0.890756302521008
"29","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-5",1,0.666945606694561
"30","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-6",1,0.935041171088747
"31","Lewisetta","S1-LOLA","MVP-LOLA-1",1,0.921551724137931
"32","Lewisetta","S1-LOLA","MVP-LOLA-2",1,0.921003717472119
"33","Lewisetta","S1-LOLA","MVP-LOLA-3",1,0.946750902527076
"34","YorkRiver","S1-LOLA","MVP-LOLA-4",1,0.892320534223706
"35","YorkRiver","S1-LOLA","MVP-LOLA-5",1,0.854606931530008
"36","YorkRiver","S1-LOLA","MVP-LOLA-6",1,0.909604519774011
"37","Lewisetta","W6-ME","MVP-ME-1",1,0.54026503567788
"38","Lewisetta","W6-ME","MVP-ME-2",1,0.367952522255193
"39","Lewisetta","W6-ME","MVP-ME-3",1,0.837316885119507
"40","YorkRiver","W6-ME","MVP-ME-4",1,0.812240663900415
"41","YorkRiver","W6-ME","MVP-ME-5",1,0.744728915662651
"42","YorkRiver","W6-ME","MVP-ME-6",1,0.707666385846672
"43","Lewisetta","W5-NH","MVP-NH-1",1,0.562717770034843
"44","Lewisetta","W5-NH","MVP-NH-2",1,0.541208791208791
"45","Lewisetta","W5-NH","MVP-NH-3",1,0.62488646684832
"46","YorkRiver","W5-NH","MVP-NH-4",1,0.557055214723926
"47","YorkRiver","W5-NH","MVP-NH-5",1,0.590729783037475
"48","YorkRiver","W5-NH","MVP-NH-6",1,0.776595744680851
"49","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-1",1,0.79288256227758
"50","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-2",1,0.872253864930838
"51","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-3",1,0.778889899909008
"52","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-4",1,0.803418803418803
