"","popsite","bag_site","pop","bags_label","t","surv","oldpop","letters"
"1","Lewisetta:DEBY","Lewisetta","S2-DEBY","MVP-DEBY-1","3",0.679290053668238,"DEBY","bcd"
"2","Lewisetta:DEBY","Lewisetta","S2-DEBY","MVP-DEBY-2","3",0.548111188285824,"DEBY","bcd"
"3","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-1","3",0.845329882145611,"FL","abc"
"4","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-2","3",0.616191456168885,"FL","abc"
"5","Lewisetta:FL","Lewisetta","W3-FL","MVP-FL-3","3",0.676934663905103,"FL","abc"
"6","Lewisetta:LA","Lewisetta","W2-LA","MVP-LA-1","3",0.890979520920562,"LA","a"
"7","Lewisetta:LA","Lewisetta","W2-LA","MVP-LA-2","3",0.914076413420371,"LA","a"
"8","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-1","3",0.743191489361702,"LOLA","ab"
"9","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-2","3",0.777710986316539,"LOLA","ab"
"10","Lewisetta:LOLA","Lewisetta","S1-LOLA","MVP-LOLA-3","3",0.775912128427683,"LOLA","ab"
"11","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-1","3",0.0915826230290411,"ME","fg"
"12","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-2","3",0.158856830187091,"ME","fg"
"13","Lewisetta:ME","Lewisetta","W6-ME","MVP-ME-3","3",0.262733968733083,"ME","fg"
"14","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-1","3",0.181066053821632,"NH","fg"
"15","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-2","3",0.155728314238953,"NH","fg"
"16","Lewisetta:NH","Lewisetta","W5-NH","MVP-NH-3","3",0.0686184706359789,"NH","fg"
"17","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-1","3",0.651261612226551,"TX","ab"
"18","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-2","3",0.832548824742889,"TX","ab"
"19","Lewisetta:TX","Lewisetta","W1-TX","MVP-TX-3","3",0.772438078892078,"TX","ab"
"20","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-1","3",0.57216886860862,"VA","cd"
"21","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-2","3",0.458376578446635,"VA","cd"
"22","Lewisetta:VA","Lewisetta","W4-VA","MVP-JR-3","3",0.597493560745438,"VA","cd"
"23","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-4","3",0.492392251647164,"DEBY","de"
"24","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-5","3",0.479108362765346,"DEBY","de"
"25","YorkRiver:DEBY","YorkRiver","S2-DEBY","MVP-DEBY-6","3",0.505322063538327,"DEBY","de"
"26","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-4","3",0.60868405255786,"FL","cd"
"27","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-5","3",0.521527744870398,"FL","cd"
"28","YorkRiver:FL","YorkRiver","W3-FL","MVP-FL-6","3",0.533288201160542,"FL","cd"
"29","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-4","3",0.255757239445669,"LA","ef"
"30","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-5","3",0.383553098848161,"LA","ef"
"31","YorkRiver:LA","YorkRiver","W2-LA","MVP-LA-6","3",0.289135159957141,"LA","ef"
"32","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-4","3",0.281319930380421,"LOLA","ef"
"33","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-5","3",0.338871603028723,"LOLA","ef"
"34","YorkRiver:LOLA","YorkRiver","S1-LOLA","MVP-LOLA-6","3",0.33893496814521,"LOLA","ef"
"35","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-4","3",0.0265118742826874,"ME","g"
"36","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-5","3",0.0516630351192002,"ME","g"
"37","YorkRiver:ME","YorkRiver","W6-ME","MVP-ME-6","3",0.0251590815393716,"ME","g"
"38","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-4","3",0.00513771048166036,"NH","g"
"39","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-5","3",0.0621763397540812,"NH","g"
"40","YorkRiver:NH","YorkRiver","W5-NH","MVP-NH-6","3",0.0515083770171652,"NH","g"
"41","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-4","3",0.36449449538562,"TX","de"
"42","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-5","3",0.520800254048904,"TX","de"
"43","YorkRiver:TX","YorkRiver","W1-TX","MVP-TX-6","3",0.440677966101695,"TX","de"
"44","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-4","3",0.533131654159215,"VA","de"
"45","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-5","3",0.431804541846553,"VA","de"
"46","YorkRiver:VA","YorkRiver","W4-VA","MVP-JR-6","3",0.465754474723085,"VA","de"
