"","site_name","site_day_key","site_day_label","day_trt","day_an","day","date","image_label","shell_length_um","shell_length_mm"
"379","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_1",316.357,0.316357
"380","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_2",319.598,0.319598
"381","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_3",332.948,0.332948
"382","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_4",324.306,0.324306
"383","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_5",332.164,0.332164
"384","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_6",329.574,0.329574
"385","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_7",341.25,0.34125
"386","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_8",341.225,0.341225
"387","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_9",311.162,0.311162
"388","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_10",313.05,0.31305
"389","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_10",309.798,0.309798
"390","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_11",322.138,0.322138
"391","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_11",299.988,0.299988
"392","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_11",329.169,0.329169
"393","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_12",294.741,0.294741
"394","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_12",314.443,0.314443
"395","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_12",310.851,0.310851
"396","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_13",298.344,0.298344
"397","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_13",333.487,0.333487
"398","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_13",307.586,0.307586
"399","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_13",305.303,0.305303
"400","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_14",283.195,0.283195
"401","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_15",325.356,0.325356
"402","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_16",331.126,0.331126
"403","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_16",321.68,0.32168
"404","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_17",318.506,0.318506
"405","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_17",329.158,0.329158
"406","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_18",328.363,0.328363
"407","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_18",317.127,0.317127
"408","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_19",280.983,0.280983
"409","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_20",326.687,0.326687
"410","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_20",314.759,0.314759
"411","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_21",323.699,0.323699
"412","W2-LA","7E8E995C","LA_19_Eyed","19_Eyed","15-21",19,"2023-05-28","LA_19_eyed_22",325.252,0.325252
