"","bag","monitoring_event","length"
"1","MVP-DEBY-1",1,34.037037037037
"2","MVP-DEBY-1",2,42.8604651162791
"3","MVP-DEBY-1",3,64.6111111111111
"4","MVP-DEBY-2",1,28.7857142857143
"5","MVP-DEBY-2",2,40.4634146341463
"6","MVP-DEBY-2",3,72.53125
"7","MVP-DEBY-3",1,36.219512195122
"8","MVP-DEBY-3",2,42.0487804878049
"9","MVP-DEBY-3",3,75.2631578947368
"10","MVP-DEBY-4",1,29.6521739130435
"11","MVP-DEBY-4",2,38.575
"12","MVP-DEBY-4",3,60.0909090909091
"13","MVP-DEBY-5",1,33.6444444444444
"14","MVP-DEBY-5",2,37.6944444444444
"15","MVP-DEBY-5",3,59.7307692307692
"16","MVP-DEBY-6",1,32.5111111111111
"17","MVP-DEBY-6",2,38.2142857142857
"18","MVP-DEBY-6",3,64.2
"19","MVP-FL-1",1,35.85
"20","MVP-FL-1",2,39.65
"21","MVP-FL-1",3,63.8888888888889
"22","MVP-FL-2",1,36.8780487804878
"23","MVP-FL-2",2,42.2
"24","MVP-FL-2",3,63.1842105263158
"25","MVP-FL-3",1,34.98
"26","MVP-FL-3",2,38.14
"27","MVP-FL-3",3,62.6923076923077
"28","MVP-FL-4",1,36.5681818181818
"29","MVP-FL-4",2,40.1590909090909
"30","MVP-FL-4",3,54.4285714285714
"31","MVP-FL-5",1,36.6428571428571
"32","MVP-FL-5",2,43.4358974358974
"33","MVP-FL-5",3,52.15
"34","MVP-FL-6",1,36.6818181818182
"35","MVP-FL-6",2,42.575
"36","MVP-FL-6",3,56.8620689655172
"37","MVP-JR-1",1,30.6511627906977
"38","MVP-JR-1",2,37.2307692307692
"39","MVP-JR-1",3,64.6857142857143
"40","MVP-JR-2",1,29
"41","MVP-JR-2",2,37.5853658536585
"42","MVP-JR-2",3,61.741935483871
"43","MVP-JR-3",1,30.62
"44","MVP-JR-3",2,38.3863636363636
"45","MVP-JR-3",3,66.0689655172414
"46","MVP-JR-4",1,31.3333333333333
"47","MVP-JR-4",2,37.6923076923077
"48","MVP-JR-4",3,55.5555555555556
"49","MVP-JR-5",1,29.5909090909091
"50","MVP-JR-5",2,35.225
"51","MVP-JR-5",3,52.7777777777778
"52","MVP-JR-6",1,30.8510638297872
"53","MVP-JR-6",2,37.525
"54","MVP-JR-6",3,55.4
"55","MVP-LA-1",1,36.525
"56","MVP-LA-1",2,41.2222222222222
"57","MVP-LA-1",3,89.8181818181818
"58","MVP-LA-2",1,37.65
"59","MVP-LA-2",2,41.5897435897436
"60","MVP-LA-2",3,72.4
"61","MVP-LA-3",1,36.7674418604651
"62","MVP-LA-3",2,43.1794871794872
"63","MVP-LA-3",3,72.3611111111111
"64","MVP-LA-4",1,26.6190476190476
"65","MVP-LA-4",2,32.475
"66","MVP-LA-4",3,45.8333333333333
"67","MVP-LA-5",1,27.2173913043478
"68","MVP-LA-5",2,33.3
"69","MVP-LA-5",3,45.7916666666667
"70","MVP-LA-6",1,29.6511627906977
"71","MVP-LA-6",2,33.725
"72","MVP-LA-6",3,46.0714285714286
"73","MVP-LARMIX-1",1,38.7111111111111
"74","MVP-LARMIX-1",2,45.8461538461538
"75","MVP-LARMIX-1",3,70.0810810810811
