,bag,monitoring_event,length,site
1,MVP-DEBY-1,1,34.03703704,Lewisetta
2,MVP-DEBY-2,1,28.78571429,Lewisetta
3,MVP-DEBY-3,1,36.2195122,Lewisetta
4,MVP-DEBY-4,1,29.65217391,York River
5,MVP-DEBY-5,1,33.64444444,York River
6,MVP-DEBY-6,1,32.51111111,York River
7,MVP-FL-1,1,35.85,Lewisetta
8,MVP-FL-2,1,36.87804878,Lewisetta
9,MVP-FL-3,1,34.98,Lewisetta
10,MVP-FL-4,1,36.56818182,York River
11,MVP-FL-5,1,36.64285714,York River
12,MVP-FL-6,1,36.26666667,York River
13,MVP-JR-1,1,30.65116279,Lewisetta
14,MVP-JR-2,1,29,Lewisetta
15,MVP-JR-3,1,30.62,Lewisetta
16,MVP-JR-4,1,31.33333333,York River
17,MVP-JR-5,1,29.59090909,York River
18,MVP-JR-6,1,30.85106383,York River
19,MVP-LA-1,1,36.525,Lewisetta
20,MVP-LA-2,1,37.65,Lewisetta
21,MVP-LA-3,1,36.76744186,Lewisetta
22,MVP-LA-4,1,26.61904762,York River
23,MVP-LA-5,1,27.2173913,York River
24,MVP-LA-6,1,29.65116279,York River
25,MVP-LARMIX-1,1,38.71111111,Lewisetta
26,MVP-LARMIX-2,1,41.81395349,Lewisetta
27,MVP-LARMIX-3,1,38.12195122,Lewisetta
28,MVP-LARMIX-4,1,31.5952381,York River
29,MVP-LARMIX-5,1,32.825,York River
30,MVP-LARMIX-6,1,37.52380952,York River
31,MVP-LOLA-1,1,42.475,Lewisetta
32,MVP-LOLA-2,1,44.25,Lewisetta
33,MVP-LOLA-3,1,36.7,Lewisetta
34,MVP-LOLA-4,1,35.25581395,York River
35,MVP-LOLA-5,1,36.35,York River
36,MVP-LOLA-6,1,36.35714286,York River
37,MVP-ME-1,1,30.73333333,Lewisetta
38,MVP-ME-2,1,30.95454545,Lewisetta
39,MVP-ME-3,1,29.30434783,Lewisetta
40,MVP-ME-4,1,29.40816327,York River
41,MVP-ME-5,1,33.02173913,York River
42,MVP-ME-6,1,35,York River
43,MVP-NH-1,1,27.32,Lewisetta
44,MVP-NH-2,1,24.9375,Lewisetta
45,MVP-NH-3,1,23.66037736,Lewisetta
46,MVP-NH-4,1,26.08888889,York River
47,MVP-NH-5,1,28.06666667,York River
48,MVP-NH-6,1,24.26,York River
49,MVP-SEEDMIX-1,1,31.58139535,Lewisetta
50,MVP-SEEDMIX-2,1,32.93181818,Lewisetta
51,MVP-SEEDMIX-3,1,37.75,Lewisetta
52,MVP-SEEDMIX-4,1,30.40909091,York River
53,MVP-SEEDMIX-5,1,28.31818182,York River
54,MVP-SEEDMIX-6,1,29.93333333,York River
55,MVP-TX-1,1,36.72093023,Lewisetta
56,MVP-TX-2,1,38.94871795,Lewisetta
57,MVP-TX-3,1,35.66666667,Lewisetta
58,MVP-TX-4,1,31.04545455,York River
