"site_name","salinity_quantile_10","salinity_quantile_90","Salinity_st_dev","temp_quantile_10","temp_quantile_90","Temperature_st_dev","salinity"
"W1-TX",5.9,36.7,11.6639351083845,13.8,30.5,6.38546821611236,20.8578965409574
"W2-LA",3,18,5.58216683742311,13.2,30.7,6.69138590137803,10.4648685968814
"W3-FL",27.850664281,35.97585067,3.71539685491799,14.559,29.279,5.70766431643323,32.3522536547562
"W4-VA",12.2,19.1,2.70141647539937,6.1,28.1,8.48879806824413,15.2082260828351
"S1-LOLA",8.30654856528418,16.4543826666667,3.03382190435488,5.03450310849057,27.7325858949275,8.73244626481173,12.7479836629516
"S2-DEBY",15.81,22.39,2.56014356993626,6.53,27.49,8.0752492152421,19.3389485348657
"W5-NH",5.9,28.6,8.32092581976642,7.2,24.2,6.44962480142665,18.6413907070336
"W6-ME",26.29,31.48,2.27787796122369,7.563,21.5,5.22149721972099,29.4782830432469
"LEW",8.03945725874126,17.136467423815,3.20500796395998,7.35480666522912,28.4004925400093,8.16038386245885,12.2629063286683
"YRK",15.43,22.93,2.79611828923145,7.984,27.392,7.38190627905502,19.7704837214925
