"response","model_approach","site","timepoint","model_class","predictor","estimate","se","scaled_estimate","scaled_se","test_type","test_stat","p_value","significance","dropped_vars"
"Condition Index","Env. Distance","Lewisetta","t1 (Nov 2023)","lmer (bag random effect)","ho",-11.2375,4.1266,-0.249,0.0914,"chisq",7.416,0.006466,"**","ar, dist_LEW"
"Condition Index","Env. Distance","Lewisetta","t2 (May 2024)","lmer (bag random effect)","ho",-13.8957,3.959,-0.4578,0.1304,"chisq",12.32,0.0004483,"***","ar, dist_LEW"
"Condition Index","Env. Distance","Lewisetta","t3 (Nov 2024)","lmer (bag random effect)","ho",-9.5345,3.1475,-0.3589,0.1185,"chisq",9.176,0.002452,"**","none"
"Condition Index","Env. Distance","Lewisetta","t3 (Nov 2024)","lmer (bag random effect)","ar",7.6603,3.1555,0.3843,0.1583,"chisq",5.893,0.0152,"*","none"
"Condition Index","Env. Distance","Lewisetta","t3 (Nov 2024)","lmer (bag random effect)","dist_LEW",0.2454,0.1175,0.3001,0.1436,"chisq",4.364,0.03671,"*","none"
"Condition Index","Env. Distance","York River","t1 (Nov 2023)","lmer (bag random effect)","none retained",NA,NA,NA,NA,NA,NA,NA,"","ho, ar, dist_YRK (only bag effect significant)"
"Condition Index","Env. Distance","York River","t2 (May 2024)","lmer (bag random effect)","ar",-13.5847,3.1734,-0.5312,0.1241,"chisq",18.326,1.862e-05,"***","ho"
"Condition Index","Env. Distance","York River","t2 (May 2024)","lmer (bag random effect)","dist_YRK",-0.493,0.1953,-0.321,0.1272,"chisq",6.372,0.0116,"*","ho"
"Condition Index","Env. Distance","York River","t3 (Nov 2024)","lmer (bag random effect)","ar",6.7754,3.0096,0.3251,0.1444,"chisq",5.068,0.02437,"*","dist_YRK"
"Condition Index","Env. Distance","York River","t3 (Nov 2024)","lmer (bag random effect)","ho",-14.0927,4.1616,-0.4945,0.146,"chisq",11.468,0.0007082,"***","dist_YRK"
