"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"LOC111108373","LOC111108373","LOC111108373",NA,"protein_coding","Eastern oyster","NC_035787.1",0.22211,"amidase-like- transcript variant X2",NA,2,32664,1539,28744,NA,NA,11
"LOC111117514","LOC111117514","LOC111117514",NA,"protein_coding","Eastern oyster","NC_035789.1",0.27057,"carbonic anhydrase 1-like",NA,1,3344,936,3344,NA,NA,8
"LOC111122437","LOC111122437","LOC111122437",NA,"protein_coding","Eastern oyster","NC_035781.1",0.307719,"YTH domain-containing protein 1-like",NA,1,9901,1923,9901,NA,NA,17
"LOC111117521","LOC111117521","LOC111117521",NA,"protein_coding","Eastern oyster","NC_035789.1",0.346793,"uncharacterized LOC111117521",NA,1,1820,399,1820,NA,NA,3
"LOC111119377","LOC111119377","LOC111119377",NA,"protein_coding","Eastern oyster","NC_035780.1",0.366837,"probable G-protein coupled receptor 83",NA,1,3834,1092,3834,NA,NA,2
"LOC111109809","LOC111109809","LOC111109809",NA,"protein_coding","Eastern oyster","NC_035780.1",0.444907,"peroxisome proliferator-activated receptor delta-like",NA,1,8404,1368,8404,NA,NA,8
"LOC111112773","LOC111112773","LOC111112773",NA,"protein_coding","Eastern oyster","NC_035780.1",0.502147,"potassium voltage-gated channel protein Shaw-like- transcript variant X1",NA,2,6683,1767,6683,NA,NA,4
"LOC111101099","LOC111101099","LOC111101099",NA,"protein_coding","Eastern oyster","NC_035785.1",0.515401,"uncharacterized LOC111101099- transcript variant X1",NA,2,9098,1392,9098,NA,NA,12
"LOC111103801","LOC111103801","LOC111103801",NA,"protein_coding","Eastern oyster","NC_035786.1",0.553757,"cell division cycle 5-like protein",NA,1,45593,2391,45593,NA,NA,20
"LOC111120125","LOC111120125","LOC111120125",NA,"protein_coding","Eastern oyster","NC_035781.1",0.619148,"spindle and centriole-associated protein 1-like- transcript variant X1",NA,5,9806,2366,9690,NA,NA,18
"LOC111120127","LOC111120127","LOC111120127",NA,"protein_coding","Eastern oyster","NC_035781.1",0.629192,"histone-arginine methyltransferase CARMER-like- transcript variant X1",NA,2,10863,1635,10432,NA,NA,14
