"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"LOC111126949","LOC111126949","LOC111126949",NA,"protein_coding","Eastern oyster","NC_035780.1",0.028961,"UNC5C-like protein",NA,1,4364,2010,4364,NA,NA,5
"LOC111108587","LOC111108587","LOC111108587",NA,"protein_coding","Eastern oyster","NC_035787.1",0.042276,"uncharacterized LOC111108587",NA,1,5153,678,5153,NA,NA,6
"LOC111110729","LOC111110729","LOC111110729",NA,"protein_coding","Eastern oyster","NC_035780.1",0.043111,"FMRFamide receptor-like- transcript variant X1",NA,2,23787,1188,13592,NA,NA,2
"LOC111128944","LOC111128944","LOC111128944",NA,"protein_coding","Eastern oyster","NC_035780.1",0.108305,NA,NA,1,1773,1773,1773,NA,NA,1
"LOC111108375","LOC111108375","LOC111108375",NA,"protein_coding","Eastern oyster","NC_035787.1",0.220649,"zinc finger protein 862-like",NA,1,9139,486,9139,NA,NA,4
"LOC111108373","LOC111108373","LOC111108373",NA,"protein_coding","Eastern oyster","NC_035787.1",0.22211,"amidase-like- transcript variant X2",NA,2,32664,1539,28744,NA,NA,11
"LOC111109452","LOC111109452","LOC111109452",NA,"protein_coding","Eastern oyster","NC_035780.1",0.245532,"sulfotransferase 1C4-like",NA,1,7511,903,7511,NA,NA,5
"LOC111124802","LOC111124802","LOC111124802",NA,"protein_coding","Eastern oyster","NC_035780.1",0.258108,"uncharacterized LOC111124802- transcript variant X3",NA,5,14732,2033,10383,NA,NA,5
"LOC111122446","LOC111122446","LOC111122446",NA,"protein_coding","Eastern oyster","NC_035781.1",0.28222,"organic solute transporter subunit alpha-like- transcript variant X5",NA,6,24715,1004,13446,NA,NA,8
"LOC111122437","LOC111122437","LOC111122437",NA,"protein_coding","Eastern oyster","NC_035781.1",0.307719,"YTH domain-containing protein 1-like",NA,1,9901,1923,9901,NA,NA,17
"LOC111133260","LOC111133260","LOC111133260",NA,"protein_coding","Eastern oyster","NC_035780.1",0.315522,"tyrosine-protein phosphatase non-receptor type 5-like",NA,1,24740,1983,24740,NA,NA,15
"LOC111117672","LOC111117672","LOC111117672",NA,"protein_coding","Eastern oyster","NC_035780.1",0.394983,NA,NA,1,14298,4002,14298,NA,NA,23
"LOC111116734","LOC111116734","LOC111116734",NA,"protein_coding","Eastern oyster","NC_035789.1",0.438329,"uncharacterized LOC111116734",NA,1,2832,1551,2832,NA,NA,2
"LOC111109809","LOC111109809","LOC111109809",NA,"protein_coding","Eastern oyster","NC_035780.1",0.444907,"peroxisome proliferator-activated receptor delta-like",NA,1,8404,1368,8404,NA,NA,8
"LOC111118750","LOC111118750","LOC111118750",NA,"protein_coding","Eastern oyster","NC_035781.1",0.453615,"uncharacterized LOC111118750",NA,1,17781,774,17781,NA,NA,7
"LOC111112773","LOC111112773","LOC111112773",NA,"protein_coding","Eastern oyster","NC_035780.1",0.502147,"potassium voltage-gated channel protein Shaw-like- transcript variant X1",NA,2,6683,1767,6683,NA,NA,4
